GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ikanos CLI,io.ikanos.cli,TracesCommand,83,462,15,33,14,78,14,20,1,9
Ikanos CLI,io.ikanos.cli,ValidateCommand,148,65,19,5,35,14,11,5,0,4
Ikanos CLI,io.ikanos.cli,ImportOpenApiCommand,63,159,10,12,14,38,7,7,0,3
Ikanos CLI,io.ikanos.cli,CreateCapabilityCommand,95,0,6,0,23,0,5,0,2,0
Ikanos CLI,io.ikanos.cli,ControlPortClient.ControlPortResponse,0,9,0,0,0,1,0,1,0,1
Ikanos CLI,io.ikanos.cli,ControlPortClient.ControlPortUnreachableException,0,6,0,0,0,2,0,1,0,1
Ikanos CLI,io.ikanos.cli,FileGenerator,3,86,0,2,1,21,1,2,1,1
Ikanos CLI,io.ikanos.cli,MetricsCommand,13,84,1,9,4,19,1,7,0,3
Ikanos CLI,io.ikanos.cli,TracesCommand.SpanInfo,0,21,0,0,0,1,0,1,0,1
Ikanos CLI,io.ikanos.cli,CreateCommand,7,0,0,0,3,0,2,0,2,0
Ikanos CLI,io.ikanos.cli,ControlPortMixin,18,154,13,17,6,38,11,11,0,7
Ikanos CLI,io.ikanos.cli,StatusCommand,42,245,7,19,10,53,6,11,0,4
Ikanos CLI,io.ikanos.cli,HealthCommand,17,164,1,13,5,36,1,9,0,3
Ikanos CLI,io.ikanos.cli,ImportCommand,4,3,0,0,2,1,1,1,1,1
Ikanos CLI,io.ikanos.cli,FileFormat,0,55,0,4,0,11,0,5,0,3
Ikanos CLI,io.ikanos.cli,ExportOpenApiCommand,44,115,5,7,11,24,5,4,0,3
Ikanos CLI,io.ikanos.cli,ControlPortClient,9,130,1,3,2,24,1,6,0,5
Ikanos CLI,io.ikanos.cli,ExportCommand,4,3,0,0,2,1,1,1,1,1
Ikanos CLI,io.ikanos.cli,ScriptingCommand,13,328,3,33,4,70,3,22,0,5
Ikanos CLI,io.ikanos,Cli,16,3,0,0,5,1,2,1,2,1
Ikanos CLI,io.ikanos,Cli.VersionProvider,7,3,0,0,1,1,1,1,1,1
