GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ikanos Engine,io.ikanos.engine.exposes.control,TraceRingBuffer,0,168,0,10,0,34,0,11,0,6
Ikanos Engine,io.ikanos.engine.exposes.control,TracesResource,292,0,26,0,60,0,18,0,5,0
Ikanos Engine,io.ikanos.engine.exposes.control,ScriptingResource,138,280,18,30,29,70,17,11,0,4
Ikanos Engine,io.ikanos.engine.exposes.control,HealthLiveResource,0,9,0,0,0,2,0,2,0,2
Ikanos Engine,io.ikanos.engine.exposes.control,ControlServerAdapter,0,205,4,28,0,48,4,19,0,7
Ikanos Engine,io.ikanos.engine.exposes.control,TraceSummary.SpanSummary,0,21,0,0,0,1,0,1,0,1
Ikanos Engine,io.ikanos.engine.exposes.control,StatusResource,197,0,18,0,40,0,13,0,4,0
Ikanos Engine,io.ikanos.engine.exposes.control,TraceSummary,0,24,0,0,0,1,0,1,0,1
Ikanos Engine,io.ikanos.engine.exposes.control,TraceCapturingSpanProcessor,149,37,12,8,38,14,14,9,8,3
Ikanos Engine,io.ikanos.engine.exposes.control,MetricsResource,0,23,0,2,0,6,0,3,0,2
Ikanos Engine,io.ikanos.engine.exposes.control,HealthReadyResource,156,0,26,0,33,0,17,0,4,0
Ikanos Engine,io.ikanos.engine.consumes.http,Response,6,0,0,0,3,0,2,0,2,0
Ikanos Engine,io.ikanos.engine.consumes.http,HttpClientAdapter,15,244,7,24,4,62,8,17,1,7
Ikanos Engine,io.ikanos.engine.consumes.http,Parameter,3,0,0,0,1,0,1,0,1,0
Ikanos Engine,io.ikanos.engine.consumes.http,Operation,31,0,0,0,10,0,5,0,5,0
Ikanos Engine,io.ikanos.engine,Adapter,0,8,0,0,0,2,0,2,0,2
Ikanos Engine,io.ikanos.engine.observability,TelemetryBootstrap,59,597,17,77,16,159,16,62,3,28
Ikanos Engine,io.ikanos.engine.observability,PullMetricReader,1,28,1,1,0,10,1,6,0,6
Ikanos Engine,io.ikanos.engine.observability,PrometheusTextSerializer,90,350,14,26,17,75,10,22,0,10
Ikanos Engine,io.ikanos.engine.observability,RestletHeaderSetter,0,21,0,6,0,5,0,6,0,3
Ikanos Engine,io.ikanos.engine.observability,EngineMetrics,2,201,2,14,0,63,2,13,0,7
Ikanos Engine,io.ikanos.engine.observability,DelegatingSpanProcessor,15,48,4,8,5,18,4,11,1,8
Ikanos Engine,io.ikanos.engine.observability,RestletHeaderGetter,0,34,2,8,0,8,2,7,0,4
Ikanos Engine,io.ikanos.engine.util,Resolver,104,728,56,131,27,168,54,50,0,9
Ikanos Engine,io.ikanos.engine.util,OperationStepExecutor.StepExecutionResult,0,9,0,0,0,4,0,1,0,1
Ikanos Engine,io.ikanos.engine.util,SafePathResolver,35,97,3,13,8,22,3,7,0,2
Ikanos Engine,io.ikanos.engine.util,Converter,203,1022,45,138,40,237,43,86,1,29
Ikanos Engine,io.ikanos.engine.util,Converter.MarkdownDocumentParts,0,9,0,0,0,1,0,1,0,1
Ikanos Engine,io.ikanos.engine.util,BindingResolver,36,259,14,32,8,58,14,14,0,5
Ikanos Engine,io.ikanos.engine.util,Converter.new AbstractVisitor() {...},19,13,0,0,6,3,3,2,3,2
Ikanos Engine,io.ikanos.engine.util,StepExecutionContext,9,31,2,2,3,8,4,4,2,4
Ikanos Engine,io.ikanos.engine.util,LookupExecutor,12,183,14,36,6,46,15,16,1,5
Ikanos Engine,io.ikanos.engine.util,OperationStepExecutor,266,1266,89,171,75,318,75,75,1,18
Ikanos Engine,io.ikanos.engine.util,ConversionFormat,0,110,0,6,0,20,0,6,0,3
Ikanos Engine,io.ikanos.engine.util,OperationStepExecutor.HandlingContext,11,127,8,10,3,26,8,3,0,2
Ikanos Engine,io.ikanos,Capability.new ExecutionContext() {...},0,6,0,0,0,2,0,2,0,2
Ikanos Engine,io.ikanos,Capability.Builder,93,81,7,5,23,21,7,6,3,4
Ikanos Engine,io.ikanos,Capability,195,439,35,39,48,87,28,26,4,13
Ikanos Engine,io.ikanos.engine.scripting,ScriptStepExecutor,121,955,33,105,31,217,35,55,2,19
Ikanos Engine,io.ikanos.engine.scripting,GroovySandboxExpressionChecker,41,197,12,12,10,16,9,6,0,3
Ikanos Engine,io.ikanos.engine.exposes,ServerAdapter,95,192,30,20,25,47,23,17,4,11
Ikanos Engine,io.ikanos.engine.exposes,OAuth2AuthenticationRestlet,168,671,45,89,44,177,42,51,4,22
Ikanos Engine,io.ikanos.engine.exposes,ServerAdapter.new SecretVerifier() {...},71,9,16,0,14,1,9,1,1,1
Ikanos Engine,io.ikanos.engine.exposes,ServerAuthenticationRestlet,32,256,20,39,12,62,20,18,0,8
Ikanos Engine,io.ikanos.engine.exposes.mcp,ResourceHandler,81,589,29,61,16,125,24,37,1,15
Ikanos Engine,io.ikanos.engine.exposes.mcp,StdioJsonRpcHandler,63,82,4,8,20,22,4,6,1,3
Ikanos Engine,io.ikanos.engine.exposes.mcp,McpOAuth2Restlet,11,169,4,16,3,40,5,14,1,8
Ikanos Engine,io.ikanos.engine.exposes.mcp,ProtocolDispatcher,162,891,24,77,33,193,20,48,0,13
