GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ikanos Spec,io.ikanos.spec.observability,ObservabilityLocalEndpointSpec,13,0,0,0,5,0,3,0,3,0
Ikanos Spec,io.ikanos.spec.observability,ObservabilityTracesSpec,10,43,0,0,3,10,2,5,2,5
Ikanos Spec,io.ikanos.spec.observability,ObservabilityMetricsSpec,31,8,4,0,9,2,4,1,2,1
Ikanos Spec,io.ikanos.spec.observability,ObservabilitySpec,10,53,0,0,3,14,2,7,2,7
Ikanos Spec,io.ikanos.spec.observability,ObservabilityOtlpExporterSpec,0,10,0,0,0,4,0,3,0,3
Ikanos Spec,io.ikanos.spec.observability,ObservabilityTracesLocalSpec,23,0,0,0,9,0,5,0,5,0
Ikanos Spec,io.ikanos.spec.observability,ObservabilityExportersSpec,0,18,0,0,0,5,0,3,0,3
Ikanos Spec,io.ikanos.spec.consumes,ClientSpec,8,20,0,0,3,9,2,4,2,4
Ikanos Spec,io.ikanos.spec.consumes,ClientSpecDeserializer,0,23,0,2,0,5,0,3,0,2
Ikanos Spec,io.ikanos.spec.consumes.http,BasicAuthenticationSpec,0,67,0,6,0,15,0,9,0,6
Ikanos Spec,io.ikanos.spec.consumes.http,HttpClientResourceSpec,14,53,1,3,4,13,2,5,1,4
Ikanos Spec,io.ikanos.spec.consumes.http,BearerAuthenticationSpec,0,18,0,0,0,8,0,4,0,4
Ikanos Spec,io.ikanos.spec.consumes.http,AuthenticationSpec,8,9,0,0,4,4,2,2,2,2
Ikanos Spec,io.ikanos.spec.consumes.http,OAuth2AuthenticationSpec,31,68,1,1,9,17,7,7,6,7
Ikanos Spec,io.ikanos.spec.consumes.http,HttpClientSpec,8,78,0,4,3,22,2,10,2,8
Ikanos Spec,io.ikanos.spec.consumes.http,ApiKeyAuthenticationSpec,0,40,0,0,0,16,0,8,0,8
Ikanos Spec,io.ikanos.spec.consumes.http,HttpClientOperationSpec,19,40,0,0,5,8,3,3,3,3
Ikanos Spec,io.ikanos.spec.consumes.http,DigestAuthenticationSpec,0,67,0,6,0,15,0,9,0,6
Ikanos Spec,io.ikanos.spec.consumes.http,ImportedConsumesHttpSpec,54,33,6,0,14,14,6,9,3,9
Ikanos Spec,io.ikanos.spec.util,OperationStepCallSpec,7,66,1,3,2,16,2,8,1,7
Ikanos Spec,io.ikanos.spec.util,StructureSpec,3,311,0,0,1,80,1,33,1,33
Ikanos Spec,io.ikanos.spec.util,OperationStepSpec,5,23,0,0,2,10,1,5,1,5
Ikanos Spec,io.ikanos.spec.util,StepOutputMappingSpec,26,0,0,0,11,0,6,0,6,0
Ikanos Spec,io.ikanos.spec.util,OperationStepLookupSpec,8,67,0,2,2,22,1,11,1,10
Ikanos Spec,io.ikanos.spec.util,BindingSpec,0,102,0,0,0,24,0,10,0,10
Ikanos Spec,io.ikanos.spec.util,BindingKeysSpec,38,24,5,1,8,7,7,3,4,3
Ikanos Spec,io.ikanos.util,VersionHelper,12,34,1,1,3,8,2,2,1,2
Ikanos Spec,io.ikanos.spec.exposes.rest,RestServerSpec,0,30,0,0,0,10,0,5,0,5
Ikanos Spec,io.ikanos.spec.exposes.rest,RestServerResourceSpec,25,63,1,3,7,15,4,5,3,4
Ikanos Spec,io.ikanos.spec.exposes.rest,RestServerStepSpec,25,63,3,1,6,17,5,7,3,7
Ikanos Spec,io.ikanos.spec.exposes.rest,RestServerForwardSpec,25,0,0,0,10,0,5,0,5,0
Ikanos Spec,io.ikanos.spec.exposes.rest,RestServerOperationSpec,75,62,3,1,15,13,12,3,10,3
Ikanos Spec,io.ikanos.spec.exposes.control,ScriptingManagementSpec,127,0,6,0,38,0,21,0,18,0
Ikanos Spec,io.ikanos.spec.exposes.control,ControlServerSpec,41,21,4,0,12,6,6,2,4,2
Ikanos Spec,io.ikanos.spec.exposes.control,ControlManagementSpec,94,37,8,0,27,7,17,1,13,1
Ikanos Spec,io.ikanos.spec.exposes.control,ControlLogsEndpointSpecDeserializer,65,0,10,0,17,0,7,0,2,0
Ikanos Spec,io.ikanos.spec.exposes.control,ControlLogsEndpointSpec,45,0,0,0,17,0,8,0,8,0
Ikanos Spec,io.ikanos.spec.exposes.skill,SkillToolFromSpec,9,17,0,0,4,7,1,5,1,5
Ikanos Spec,io.ikanos.spec.exposes.skill,SkillToolSpec,0,63,0,0,0,17,0,9,0,9
Ikanos Spec,io.ikanos.spec.exposes.skill,SkillServerSpec,0,37,0,0,0,13,0,7,0,7
Ikanos Spec,io.ikanos.spec.exposes.skill,ExposedSkillSpec,30,136,2,0,10,34,6,17,5,17
Ikanos Spec,io.ikanos.spec.scripting,OperationStepScriptSpec,18,106,3,3,3,27,4,11,1,11
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpPromptArgumentSpec,42,0,4,0,14,0,12,0,10,0
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpServerSpec,74,0,2,0,22,0,13,0,12,0
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpServerPromptSpec,54,0,2,0,19,0,13,0,12,0
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpServerResourceSpec,118,53,10,0,29,12,25,1,20,1
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpPromptMessageSpec,26,0,0,0,11,0,6,0,6,0
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpServerToolSpec,87,76,2,0,25,18,19,2,18,2
Ikanos Spec,io.ikanos.spec.exposes.mcp,McpToolHintsSpec,46,0,0,0,19,0,10,0,10,0
Ikanos Spec,io.ikanos.spec.exposes,ServerSpec,12,82,0,0,4,23,2,10,2,10
Ikanos Spec,io.ikanos.spec.exposes,ServerCallSpec,53,75,7,1,9,21,8,9,4,9
Ikanos Spec,io.ikanos.spec.exposes,ServerSpecDeserializer,18,34,3,2,3,6,3,3,0,2
Ikanos Spec,io.ikanos.spec.openapi,OasImportConverter.OperationEntry,0,12,0,0,0,5,0,1,0,1
Ikanos Spec,io.ikanos.spec.openapi,OasExportBuilder,86,810,41,96,24,198,40,48,0,15
Ikanos Spec,io.ikanos.spec.openapi,OasExportResult,0,16,0,0,0,6,0,3,0,3
Ikanos Spec,io.ikanos.spec.openapi,OasYamlWriter,6,31,2,2,2,9,2,3,0,3
Ikanos Spec,io.ikanos.spec.openapi,OasImportConverter,225,1074,70,141,52,252,60,68,0,19
Ikanos Spec,io.ikanos.spec.openapi,OasImportResult,0,16,0,0,0,6,0,3,0,3
Ikanos Spec,io.ikanos.spec.aggregates,AggregateFunctionSpec,67,48,2,0,19,11,15,1,14,1
Ikanos Spec,io.ikanos.spec.aggregates,SemanticsSpec,36,0,0,0,15,0,8,0,8,0
Ikanos Spec,io.ikanos.spec.aggregates,AggregateSpec,23,18,0,0,7,5,5,1,5,1
Ikanos Spec,io.ikanos.spec,DocumentationMetadata,463,0,86,0,86,0,49,0,6,0
Ikanos Spec,io.ikanos.spec,ResourceSpec,16,42,0,0,5,17,4,7,4,7
Ikanos Spec,io.ikanos.spec,StakeholderSpec,39,0,0,0,16,0,8,0,8,0
Ikanos Spec,io.ikanos.spec,OutputParameterSerializer,19,560,10,102,2,128,8,52,0,4
Ikanos Spec,io.ikanos.spec,InputParameterSerializer,0,576,3,105,0,132,3,55,0,4
Ikanos Spec,io.ikanos.spec,OutputParameterDeserializer,72,255,18,40,14,56,17,18,0,6
Ikanos Spec,io.ikanos.spec,OperationSpec,45,137,0,0,11,36,7,13,7,13
Ikanos Spec,io.ikanos.spec,InfoSpec,12,54,0,0,4,20,4,8,4,8
Ikanos Spec,io.ikanos.spec,CapabilitySpec,9,26,0,0,3,7,3,2,3,2
Ikanos Spec,io.ikanos.spec,IkanosSpec,6,76,0,0,2,21,2,8,2,8
Ikanos Spec,io.ikanos.spec,OutputParameterSpec,47,21,0,0,9,10,3,6,3,6
Ikanos Spec,io.ikanos.spec,InputParameterDeserializer,96,227,20,34,19,51,18,15,1,5
Ikanos Spec,io.ikanos.spec,InputParameterSpec,50,34,0,0,8,15,2,9,2,9
